Film,Year,Awards,Nominations,Decade,Win_Rate
How the Grinch Stole Christmas,2000,1,3,2000,0.3333333333333333
U-571,2000,1,2,2000,0.5
Pollock,2000,1,2,2000,0.5
Father and Daughter,2000,1,1,2000,1.0
Into the Arms of Strangers: Stories of the Kindertransport,2000,1,1,2000,1.0
Quiero ser (I want to be...),2000,1,1,2000,1.0
Big Mama,2000,1,1,2000,1.0
American Beauty,1999,5,8,1990,0.625
The Matrix,1999,4,4,1990,1.0
The Cider House Rules,1999,2,7,1990,0.2857142857142857
Topsy-Turvy,1999,2,4,1990,0.5
Sleepy Hollow,1999,1,3,1990,0.3333333333333333
Boys Don't Cry,1999,1,2,1990,0.5
Tarzan,1999,1,1,1990,1.0
One Day in September,1999,1,1,1990,1.0
The Red Violin (Le violon rouge),1999,1,1,1990,1.0
The Old Man and the Sea,1999,1,1,1990,1.0
My Mother Dreams the Satan's Disciples in New York,1999,1,1,1990,1.0
King Gimp,1999,1,1,1990,1.0
"Girl, Interrupted",1999,1,1,1990,1.0
All About My Mother (Todo sobre mi madre),1999,1,1,1990,1.0
Shakespeare in Love,1998,7,13,1990,0.5384615384615384
Saving Private Ryan,1998,5,11,1990,0.45454545454545453
Life Is Beautiful (La vita è bella),1998,3,7,1990,0.42857142857142855
Elizabeth,1998,1,7,1990,0.14285714285714285
Gods and Monsters,1998,1,3,1990,0.3333333333333333
The Prince of Egypt,1998,1,2,1990,0.5
Affliction,1998,1,2,1990,0.5
What Dreams May Come,1998,1,2,1990,0.5
The Personals,1998,1,1,1990,1.0
The Last Days,1998,1,1,1990,1.0
Election Night (Valgaften),1998,1,1,1990,1.0
Bunny,1998,1,1,1990,1.0
Titanic,1997,11,14,1990,0.7857142857142857
Good Will Hunting,1997,2,9,1990,0.2222222222222222
L.A. Confidential,1997,2,9,1990,0.2222222222222222
As Good as It Gets,1997,2,7,1990,0.2857142857142857
The Full Monty,1997,1,4,1990,0.25
Men in Black,1997,1,3,1990,0.3333333333333333
Visas and Virtue,1997,1,1,1990,1.0
Character (Karakter),1997,1,1,1990,1.0
Geri's Game,1997,1,1,1990,1.0
A Story of Healing,1997,1,1,1990,1.0
The Long Way Home,1997,1,1,1990,1.0
The English Patient,1996,9,12,1990,0.75
Fargo,1996,2,7,1990,0.2857142857142857
Shine,1996,1,7,1990,0.14285714285714285
Evita,1996,1,5,1990,0.2
Jerry Maguire,1996,1,5,1990,0.2
Independence Day,1996,1,2,1990,0.5
Emma,1996,1,2,1990,0.5
Sling Blade,1996,1,2,1990,0.5
The Ghost and the Darkness,1996,1,1,1990,1.0
Kolya,1996,1,1,1990,1.0
The Nutty Professor,1996,1,1,1990,1.0
Quest,1996,1,1,1990,1.0
When We Were Kings,1996,1,1,1990,1.0
Breathing Lessons: The Life and Work of Mark O'Brien,1996,1,1,1990,1.0
Dear Diary,1996,1,1,1990,1.0
Braveheart,1995,5,10,1990,0.5
Apollo 13,1995,2,9,1990,0.2222222222222222
Pocahontas,1995,2,2,1990,1.0
The Usual Suspects,1995,2,2,1990,1.0
Restoration,1995,2,2,1990,1.0
Babe,1995,1,7,1990,0.14285714285714285
Sense and Sensibility,1995,1,7,1990,0.14285714285714285
Il Postino: The Postman,1995,1,5,1990,0.2
Dead Man Walking,1995,1,4,1990,0.25
Leaving Las Vegas,1995,1,4,1990,0.25
Mighty Aphrodite,1995,1,2,1990,0.5
Anne Frank Remembered,1995,1,1,1990,1.0
A Close Shave,1995,1,1,1990,1.0
Lieberman in Love,1995,1,1,1990,1.0
One Survivor Remembers,1995,1,1,1990,1.0
Antonia's Line (Antonia),1995,1,1,1990,1.0
Forrest Gump,1994,6,13,1990,0.46153846153846156
The Lion King,1994,2,4,1990,0.5
Speed,1994,2,3,1990,0.6666666666666666
Ed Wood,1994,2,2,1990,1.0
Pulp Fiction,1994,1,7,1990,0.14285714285714285
Bullets Over Broadway,1994,1,7,1990,0.14285714285714285
The Madness of King George,1994,1,4,1990,0.25
Legends of the Fall,1994,1,3,1990,0.3333333333333333
A Time for Justice,1994,1,1,1990,1.0
Franz Kafka's It's a Wonderful Life,1994,1,1,1990,1.0
Maya Lin: A Strong Clear Vision,1994,1,1,1990,1.0
Burnt by the Sun (Utomlyonnye solntsem),1994,1,1,1990,1.0
Trevor,1994,1,1,1990,1.0
"The Adventures of Priscilla, Queen of the Desert",1994,1,1,1990,1.0
Bob's Birthday,1994,1,1,1990,1.0
Blue Sky,1994,1,1,1990,1.0
Schindler's List,1993,7,12,1990,0.5833333333333334
The Piano,1993,3,8,1990,0.375
Jurassic Park,1993,3,3,1990,1.0
Philadelphia,1993,2,5,1990,0.4
The Fugitive,1993,1,7,1990,0.14285714285714285
The Age of Innocence,1993,1,5,1990,0.2
The Wrong Trousers,1993,1,1,1990,1.0
Belle Epoque (The Beautiful Era),1993,1,1,1990,1.0
I Am a Promise: The Children of Stanton Elementary School,1993,1,1,1990,1.0
Mrs. Doubtfire,1993,1,1,1990,1.0
Black Rider (Schwarzfahrer),1993,1,1,1990,1.0
Defending Our Lives,1993,1,1,1990,1.0
Unforgiven,1992,4,9,1990,0.4444444444444444
Howards End,1992,3,9,1990,0.3333333333333333
Bram Stoker's Dracula,1992,3,4,1990,0.75
Aladdin,1992,2,5,1990,0.4
The Crying Game,1992,1,6,1990,0.16666666666666666
Scent of a Woman,1992,1,4,1990,0.25
A River Runs Through It,1992,1,3,1990,0.3333333333333333
Indochine,1992,1,2,1990,0.5
My Cousin Vinny,1992,1,1,1990,1.0
The Panama Deception,1992,1,1,1990,1.0
Educating Peter,1992,1,1,1990,1.0
The Last of the Mohicans,1992,1,1,1990,1.0
Death Becomes Her,1992,1,1,1990,1.0
Omnibus,1992,1,1,1990,1.0
Mona Lisa Descending a Staircase,1992,1,1,1990,1.0
The Silence of the Lambs,1991,5,7,1990,0.7142857142857143
Terminator 2: Judgment Day,1991,4,6,1990,0.6666666666666666
Bugsy,1991,2,10,1990,0.2
JFK,1991,2,8,1990,0.25
Beauty and the Beast,1991,2,6,1990,0.3333333333333333
Thelma & Louise,1991,1,6,1990,0.16666666666666666
The Fisher King,1991,1,5,1990,0.2
In the Shadow of the Stars,1991,1,1,1990,1.0
Manipulation,1991,1,1,1990,1.0
Mediterraneo,1991,1,1,1990,1.0
Session Man,1991,1,1,1990,1.0
City Slickers,1991,1,1,1990,1.0
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1,1,1990,1.0
Dances with Wolves,1990,7,12,1990,0.5833333333333334
Dick Tracy,1990,3,7,1990,0.42857142857142855
Ghost,1990,2,5,1990,0.4
Goodfellas,1990,1,6,1990,0.16666666666666666
The Hunt for Red October,1990,1,3,1990,0.3333333333333333
Reversal of Fortune,1990,1,3,1990,0.3333333333333333
Cyrano de Bergerac,1990,1,5,1990,0.2
